"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"EIF5","14",1983,"eukaryotic translation initiation factor 5","Eif5"
"EIF5A","17",1984,"eukaryotic translation initiation factor 5A","Eif5a"
"EIF5A2","3",56648,"eukaryotic translation initiation factor 5A2","Eif5a2"
"EIF5A2P1","15",100506058,"eukaryotic translation initiation factor 5A2 pseudogene 1",""
"EIF5AL1","10",143244,"eukaryotic translation initiation factor 5A-like 1",""
"EIF5AP2","17",1986,"eukaryotic translation initiation factor 5A pseudogene 2",""
"EIF5AP3","19",1987,"eukaryotic translation initiation factor 5A pseudogene 3",""
"EIF5AP4","10",642592,"eukaryotic translation initiation factor 5A pseudogene 4",""
"EIF5B","2",9669,"eukaryotic translation initiation factor 5B","Eif5b"
"EIF5P1","X",100421390,"eukaryotic translation initiation factor 5 pseudogene 1",""
"EIF5P2","X",100421391,"eukaryotic translation initiation factor 5 pseudogene 2",""
"EIF6","20",3692,"eukaryotic translation initiation factor 6","Eif6"
"ELAC1","18",55520,"elaC ribonuclease Z 1","Elac1"
"ELAC2","17",60528,"elaC ribonuclease Z 2","Elac2"
"ELANE","19",1991,"elastase, neutrophil expressed","Elane"
"ELAVL1","19",1994,"ELAV like RNA binding protein 1","Elavl1"
"ELAVL2","9",1993,"ELAV like neuron-specific RNA binding protein 2","Elavl2"
"ELAVL3","19",1995,"ELAV like neuron-specific RNA binding protein 3","Elavl3"
"ELAVL4","1",1996,"ELAV like neuron-specific RNA binding protein 4","Elavl4"
"ELDR","7",102725541,"EGFR long non-coding downstream RNA",""
"ELF1","13",1997,"E74-like factor 1 (ets domain transcription factor)","Elf1"
"ELF2","4",1998,"E74-like factor 2 (ets domain transcription factor)","Elf2"
"ELF2P1","X",100101917,"E74-like factor 2 pseudogene 1",""
"ELF2P2","6",260335,"E74-like factor 2 pseudogene 2",""
"ELF2P3","9",260336,"E74-like factor 2 pseudogene 3",""
"ELF2P4","2",644935,"E74-like factor 2 pseudogene 4",""
"ELF3","1",1999,"E74-like factor 3 (ets domain transcription factor, epithelial-specific )","Elf3"
"ELF4","X",2000,"E74-like factor 4 (ets domain transcription factor)","Elf4"
"ELF5","11",2001,"E74-like factor 5 (ets domain transcription factor)",""
"ELFN1","7",392617,"extracellular leucine-rich repeat and fibronectin type III domain containing 1","Elfn1"
"ELFN1-AS1","7",101927125,"ELFN1 antisense RNA 1",""
"ELFN2","22",114794,"extracellular leucine-rich repeat and fibronectin type III domain containing 2","Elfn2"
"ELK1","X",2002,"ELK1, member of ETS oncogene family","Elk1"
"ELK1P1","7",647102,"ELK1 pseudogene 1",""
"ELK2AP","14",2003,"ELK2A, member of ETS oncogene family, pseudogene",""
"ELK2BP","14",9995,"ELK2B, member of ETS oncogene family, pseudogene",""
"ELK3","12",2004,"ELK3, ETS-domain protein (SRF accessory protein 2)","Elk3"
"ELK4","1",2005,"ELK4, ETS-domain protein (SRF accessory protein 1)","Elk4"
"ELL","19",8178,"elongation factor RNA polymerase II","Ell"
"ELL2","5",22936,"elongation factor, RNA polymerase II, 2","Ell2"
"ELL2P1","1",646270,"elongation factor, RNA polymerase II, 2 pseudogene 1",""
"ELL2P2","4",100421143,"elongation factor, RNA polymerase II, 2 pseudogene 2",""
"ELL2P3","13",100533713,"elongation factor, RNA polymerase II, 2 pseudogene 3",""
"ELL2P4","X",100128690,"elongation factor, RNA polymerase II, 2 pseudogene 4",""
"ELL3","15",80237,"elongation factor RNA polymerase II-like 3","Ell3"
"ELMO1","7",9844,"engulfment and cell motility 1","Elmo1"
"ELMO1-AS1","7",100861514,"ELMO1 antisense RNA 1",""
"ELMO2","20",63916,"engulfment and cell motility 2","Elmo2"
"ELMO2P1","15",729894,"engulfment and cell motility 2 pseudogene 1",""
"ELMO3","16",79767,"engulfment and cell motility 3","Elmo3"
"ELMOD1","11",55531,"ELMO/CED-12 domain containing 1","Elmod1"
"ELMOD2","4",255520,"ELMO/CED-12 domain containing 2","Elmod2"
"ELMOD3","2",84173,"ELMO/CED-12 domain containing 3","Elmod3"
"ELMSAN1","14",91748,"ELM2 and Myb/SANT-like domain containing 1","Elmsan1"
"ELN","7",2006,"elastin",""
"ELOF1","19",84337,"elongation factor 1 homolog (S. cerevisiae)","Elof1"
"ELOVL1","1",64834,"ELOVL fatty acid elongase 1","Elovl1"
"ELOVL2","6",54898,"ELOVL fatty acid elongase 2","Elovl2"
"ELOVL2-AS1","6",100506409,"ELOVL2 antisense RNA 1",""
"ELOVL3","10",83401,"ELOVL fatty acid elongase 3","Elovl3"
"ELOVL4","6",6785,"ELOVL fatty acid elongase 4","Elovl4"
"ELOVL5","6",60481,"ELOVL fatty acid elongase 5","Elovl5"
"ELOVL6","4",79071,"ELOVL fatty acid elongase 6","Elovl6"
"ELOVL7","5",79993,"ELOVL fatty acid elongase 7","Elovl7"
"ELP2","18",55250,"elongator acetyltransferase complex subunit 2","Elp2"
"ELP3","8",55140,"elongator acetyltransferase complex subunit 3","Elp3"
"ELP4","11",26610,"elongator acetyltransferase complex subunit 4","Elp4"
"ELP5","17",23587,"elongator acetyltransferase complex subunit 5","Elp5"
"ELP6","3",54859,"elongator acetyltransferase complex subunit 6","Elp6"
"ELSPBP1","19",64100,"epididymal sperm binding protein 1",""
"EMB","5",133418,"embigin","Emb"
"EMBP1","1",647121,"embigin pseudogene 1",""
"EMC1","1",23065,"ER membrane protein complex subunit 1","Emc1"
"EMC10","19",284361,"ER membrane protein complex subunit 10","Emc10"
"EMC2","8",9694,"ER membrane protein complex subunit 2","Emc2"
"EMC3","3",55831,"ER membrane protein complex subunit 3","Emc3"
"EMC3-AS1","3",442075,"EMC3 antisense RNA 1",""
"EMC4","15",51234,"ER membrane protein complex subunit 4","Emc4"
"EMC6","17",83460,"ER membrane protein complex subunit 6","Emc6"
"EMC7","15",56851,"ER membrane protein complex subunit 7","Emc7"
"EMC8","16",10328,"ER membrane protein complex subunit 8","Emc8"
"EMC9","14",51016,"ER membrane protein complex subunit 9","Emc9"
"EMCN","4",51705,"endomucin","Emcn"
"EMD","X",2010,"emerin","Emd"
"EME1","17",146956,"essential meiotic structure-specific endonuclease 1","Eme1"
"EME2","16",197342,"essential meiotic structure-specific endonuclease subunit 2","Eme2"
"EMG1","12",10436,"EMG1 N1-specific pseudouridine methyltransferase","Emg1"
"EMID1","22",129080,"EMI domain containing 1","Emid1"
"EMILIN1","2",11117,"elastin microfibril interfacer 1","Emilin1"
"EMILIN2","18",84034,"elastin microfibril interfacer 2","Emilin2"
"EMILIN3","20",90187,"elastin microfibril interfacer 3","Emilin3"
"EML1","14",2009,"echinoderm microtubule associated protein like 1","Eml1"
"EML2","19",24139,"echinoderm microtubule associated protein like 2","Eml2"
"EML3","11",256364,"echinoderm microtubule associated protein like 3","Eml3"
"EML4","2",27436,"echinoderm microtubule associated protein like 4","Eml4"
"EML5","14",161436,"echinoderm microtubule associated protein like 5","Eml5"
"EML6","2",400954,"echinoderm microtubule associated protein like 6","Eml6"
"EMP1","12",2012,"epithelial membrane protein 1","Emp1"
"EMP2","16",2013,"epithelial membrane protein 2","Emp2"
"EMP3","19",2014,"epithelial membrane protein 3","Emp3"
"EMX1","2",2016,"empty spiracles homeobox 1","Emx1"
"EMX2","10",2018,"empty spiracles homeobox 2","Emx2"
"EMX2OS","10",196047,"EMX2 opposite strand/antisense RNA",""
"EN1","2",2019,"engrailed homeobox 1","En1"
"EN2","7",2020,"engrailed homeobox 2","En2"
"ENAH","1",55740,"enabled homolog (Drosophila)","Enah"
"ENAM","4",10117,"enamelin","Enam"
"ENC1","5",8507,"ectodermal-neural cortex 1 (with BTB domain)","Enc1"
"ENDOD1","11",23052,"endonuclease domain containing 1","Endod1"
"ENDOG","9",2021,"endonuclease G","Endog"
"ENDOU","12",8909,"endonuclease, polyU-specific","Endou"
"ENDOV","17",284131,"endonuclease V","Endov"
"ENG","9",2022,"endoglin","Eng"
"ENGASE","17",64772,"endo-beta-N-acetylglucosaminidase","Engase"
"ENHO","9",375704,"energy homeostasis associated","Enho"
"ENKD1","16",84080,"enkurin domain containing 1","Enkd1"
"ENKUR","10",219670,"enkurin, TRPC channel interacting protein","Enkur"
"ENO1","1",2023,"enolase 1, (alpha)","Eno1"
"ENO1-AS1","1",100505975,"ENO1 antisense RNA 1",""
"ENO1P1","1",2025,"enolase 1, (alpha) pseudogene 1",""
"ENO1P2","15",100419098,"enolase 1, (alpha) pseudogene 2",""
"ENO1P3","3",100419069,"enolase 1, (alpha) pseudogene 3",""
"ENO1P4","2",100885799,"enolase 1, (alpha) pseudogene 4",""
"ENO2","12",2026,"enolase 2 (gamma, neuronal)","Eno2"
"ENO3","17",2027,"enolase 3 (beta, muscle)","Eno3"
"ENO4","10",387712,"enolase family member 4","Eno4"
"ENOPH1","4",58478,"enolase-phosphatase 1","Enoph1"
"ENOSF1","18",55556,"enolase superfamily member 1",""
"ENOX1","13",55068,"ecto-NOX disulfide-thiol exchanger 1","Enox1"
"ENOX1-AS2","13",100874130,"ENOX1 antisense RNA 2",""
"ENOX2","X",10495,"ecto-NOX disulfide-thiol exchanger 2","Enox2"
"ENPEP","4",2028,"glutamyl aminopeptidase (aminopeptidase A)","Enpep"
"ENPP1","6",5167,"ectonucleotide pyrophosphatase/phosphodiesterase 1","Enpp1"
"ENPP2","8",5168,"ectonucleotide pyrophosphatase/phosphodiesterase 2","Enpp2"
"ENPP3","6",5169,"ectonucleotide pyrophosphatase/phosphodiesterase 3","Enpp3"
"ENPP4","6",22875,"ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)","Enpp4"
"ENPP5","6",59084,"ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)","Enpp5"
"ENPP6","4",133121,"ectonucleotide pyrophosphatase/phosphodiesterase 6","Enpp6"
"ENPP7","17",339221,"ectonucleotide pyrophosphatase/phosphodiesterase 7","Enpp7"
"ENPP7P1","8",100421823,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 1",""
"ENPP7P10","4",100421805,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 10",""
"ENPP7P11","4",100421806,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 11",""
"ENPP7P13","16",104644205,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 13",""
"ENPP7P2","3",100421813,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 2",""
"ENPP7P4","3",100421816,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 4",""
"ENPP7P7","11",100421859,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 7",""
"ENPP7P8","11",100421860,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 8",""
"ENPP7P9","4",100421803,"ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 9",""
"ENSA","1",2029,"endosulfine alpha","Ensa"
"ENSAP1","20",170511,"endosulfine alpha pseudogene 1",""
"ENSAP2","14",319114,"endosulfine alpha pseudogene 2",""
"ENSAP3","2",100128203,"endosulfine alpha pseudogene 3",""
"ENTHD1","22",150350,"ENTH domain containing 1","Enthd1"
"ENTHD2","17",146705,"ENTH domain containing 2","Enthd2"
"ENTPD1","10",953,"ectonucleoside triphosphate diphosphohydrolase 1","Entpd1"
"ENTPD1-AS1","10",728558,"ENTPD1 antisense RNA 1",""
"ENTPD2","9",954,"ectonucleoside triphosphate diphosphohydrolase 2","Entpd2"
"ENTPD3","3",956,"ectonucleoside triphosphate diphosphohydrolase 3","Entpd3"
"ENTPD3-AS1","3",285266,"ENTPD3 antisense RNA 1",""
"ENTPD4","8",9583,"ectonucleoside triphosphate diphosphohydrolase 4","Entpd4;Gm21685"
"ENTPD5","14",957,"ectonucleoside triphosphate diphosphohydrolase 5","Entpd5"
"ENTPD6","20",955,"ectonucleoside triphosphate diphosphohydrolase 6 (putative)","Entpd6"
"ENTPD7","10",57089,"ectonucleoside triphosphate diphosphohydrolase 7","Entpd7"
"ENTPD8","9",377841,"ectonucleoside triphosphate diphosphohydrolase 8","Entpd8"
"ENY2","8",56943,"enhancer of yellow 2 homolog (Drosophila)","Eny2"
"EOGT","3",285203,"EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase","Eogt"
"EOMES","3",8320,"eomesodermin","Eomes"
"EP300","22",2033,"E1A binding protein p300","Ep300"
"EP300-AS1","22",101927279,"EP300 antisense RNA 1",""
"EP400","12",57634,"E1A binding protein p400","Ep400"
"EP400NL","12",347918,"EP400 N-terminal like",""
"EPAS1","2",2034,"endothelial PAS domain protein 1","Epas1"
"EPB41","1",2035,"erythrocyte membrane protein band 4.1","Epb4.1"
"EPB41L1","20",2036,"erythrocyte membrane protein band 4.1-like 1","Epb4.1l1"
"EPB41L2","6",2037,"erythrocyte membrane protein band 4.1-like 2","Epb4.1l2"
"EPB41L3","18",23136,"erythrocyte membrane protein band 4.1-like 3","Epb4.1l3"
"EPB41L4A","5",64097,"erythrocyte membrane protein band 4.1 like 4A","Epb4.1l4a"
"EPB41L4A-AS1","5",114915,"EPB41L4A antisense RNA 1",""
"EPB41L4A-AS2","5",54508,"EPB41L4A antisense RNA 2 (head to head)",""
"EPB41L4B","9",54566,"erythrocyte membrane protein band 4.1 like 4B","Epb4.1l4b"
"EPB41L5","2",57669,"erythrocyte membrane protein band 4.1 like 5","Epb4.1l5"
"EPB42","15",2038,"erythrocyte membrane protein band 4.2","Epb4.2"
"EPC1","10",80314,"enhancer of polycomb homolog 1 (Drosophila)","Epc1"
"EPC2","2",26122,"enhancer of polycomb homolog 2 (Drosophila)","Epc2"
"EPCAM","2",4072,"epithelial cell adhesion molecule","Epcam"
"EPDR1","7",54749,"ependymin related 1","Epdr1"
"EPG5","18",57724,"ectopic P-granules autophagy protein 5 homolog (C. elegans)","Epg5"
"EPGN","4",255324,"epithelial mitogen","Epgn"
"EPHA1","7",2041,"EPH receptor A1","Epha1"
"EPHA1-AS1","7",285965,"EPHA1 antisense RNA 1",""
"EPHA10","1",284656,"EPH receptor A10","Epha10"
"EPHA2","1",1969,"EPH receptor A2","Epha2"
"EPHA3","3",2042,"EPH receptor A3","Epha3"
"EPHA4","2",2043,"EPH receptor A4","Epha4"
"EPHA5","4",2044,"EPH receptor A5","Epha5"
"EPHA5-AS1","4",100144602,"EPHA5 antisense RNA 1",""
"EPHA6","3",285220,"EPH receptor A6","Epha6"
"EPHA7","6",2045,"EPH receptor A7","Epha7"
"EPHA8","1",2046,"EPH receptor A8","Epha8"
"EPHB1","3",2047,"EPH receptor B1","Ephb1"
"EPHB2","1",2048,"EPH receptor B2","Ephb2"
"EPHB3","3",2049,"EPH receptor B3","Ephb3"
"EPHB4","7",2050,"EPH receptor B4","Ephb4"
"EPHB6","7",2051,"EPH receptor B6","Ephb6"
"EPHX1","1",2052,"epoxide hydrolase 1, microsomal (xenobiotic)","Ephx1"
"EPHX2","8",2053,"epoxide hydrolase 2, cytoplasmic","Ephx2"
"EPHX3","19",79852,"epoxide hydrolase 3","Ephx3"
"EPHX4","1",253152,"epoxide hydrolase 4","Ephx4"
"EPM2A","6",7957,"epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)","Epm2a"
"EPM2AIP1","3",9852,"EPM2A (laforin) interacting protein 1","Epm2aip1"
"EPN1","19",29924,"epsin 1","Epn1"
"EPN2","17",22905,"epsin 2","Epn2"
"EPN2-AS1","17",100874018,"EPN2 antisense RNA 1",""
"EPN2-IT1","17",100874309,"EPN2 intronic transcript 1 (non-protein coding)",""
"EPN3","17",55040,"epsin 3","Epn3"
"EPO","7",2056,"erythropoietin","Epo"
"EPOR","19",2057,"erythropoietin receptor","Epor"
"EPPIN","20",57119,"epididymal peptidase inhibitor","Wfdc6a"
"EPPIN-WFDC6","20",100526773,"EPPIN-WFDC6 readthrough","Eppin"
"EPPK1","8",83481,"epiplakin 1","Eppk1"
"EPRS","1",2058,"glutamyl-prolyl-tRNA synthetase","Eprs"
"EPS15","1",2060,"epidermal growth factor receptor pathway substrate 15","Eps15"
"EPS15L1","19",58513,"epidermal growth factor receptor pathway substrate 15-like 1","Eps15l1"
"EPS15P1","7",55380,"epidermal growth factor receptor pathway substrate 15 pseudogene 1",""
"EPS8","12",2059,"epidermal growth factor receptor pathway substrate 8","Eps8"
"EPS8L1","19",54869,"EPS8-like 1","Eps8l1"
"EPS8L2","11",64787,"EPS8-like 2","Eps8l2"
"EPS8L3","1",79574,"EPS8-like 3","Eps8l3"
"EPSTI1","13",94240,"epithelial stromal interaction 1 (breast)","Epsti1"
"EPT1","2",85465,"ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific)","Ept1"
"EPX","17",8288,"eosinophil peroxidase","Epx"
"EPYC","12",1833,"epiphycan","Epyc"
"EQTN","9",54586,"equatorin, sperm acrosome associated","Eqtn"
"ERAL1","17",26284,"Era-like 12S mitochondrial rRNA chaperone 1","Eral1"
"ERAP1","5",51752,"endoplasmic reticulum aminopeptidase 1","Erap1"
"ERAP2","5",64167,"endoplasmic reticulum aminopeptidase 2",""
"ERAS","X",3266,"ES cell expressed Ras","Eras"
"ERBB2","17",2064,"erb-b2 receptor tyrosine kinase 2","Erbb2"
"ERBB2IP","5",55914,"erbb2 interacting protein","Erbb2ip"
"ERBB3","12",2065,"v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3","Erbb3"
"ERBB4","2",2066,"erb-b2 receptor tyrosine kinase 4","Erbb4"
"ERC1","12",23085,"ELKS/RAB6-interacting/CAST family member 1","Erc1"
"ERC2","3",26059,"ELKS/RAB6-interacting/CAST family member 2","Erc2"
"ERC2-IT1","3",711,"ERC2 intronic transcript 1 (non-protein coding)",""
"ERCC1","19",2067,"excision repair cross-complementation group 1","Ercc1"
"ERCC2","19",2068,"excision repair cross-complementation group 2","Ercc2"
"ERCC3","2",2071,"excision repair cross-complementation group 3","Ercc3"
"ERCC4","16",2072,"excision repair cross-complementation group 4","Ercc4"
"ERCC5","13",2073,"excision repair cross-complementation group 5","Ercc5"
"ERCC6","10",2074,"excision repair cross-complementation group 6","Ercc6"
"ERCC6-PGBD3","10",101243544,"ERCC6-PGBD3 readthrough",""
"ERCC6L","X",54821,"excision repair cross-complementation group 6-like","Ercc6l"
"ERCC6L2","9",375748,"excision repair cross-complementation group 6-like 2","Ercc6l2"
"ERCC8","5",1161,"excision repair cross-complementation group 8","Ercc8"
"EREG","4",2069,"epiregulin","Ereg"
"ERF","19",2077,"Ets2 repressor factor","Erf"
"ERG","21",2078,"v-ets avian erythroblastosis virus E26 oncogene homolog","Erg"
"ERGIC1","5",57222,"endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1","Ergic1"
"ERGIC2","12",51290,"ERGIC and golgi 2","Ergic2"
"ERGIC3","20",51614,"ERGIC and golgi 3","Ergic3"
"ERH","14",2079,"enhancer of rudimentary homolog (Drosophila)","Erh"
"ERHP1","7",100507125,"enhancer of rudimentary homolog (Drosophila) pseudogene 1",""
"ERHP2","6",100874403,"enhancer of rudimentary homolog (Drosophila) pseudogene 2",""
"ERI1","8",90459,"exoribonuclease 1","Eri1"
"ERI2","16",112479,"ERI1 exoribonuclease family member 2","Eri2"
"ERI3","1",79033,"ERI1 exoribonuclease family member 3","Eri3"
"ERI3-IT1","1",100874278,"ERI3 intronic transcript 1 (non-protein coding)",""
"ERICH1","8",157697,"glutamate-rich 1","Erich1"
"ERICH1-AS1","8",619343,"ERICH1 antisense RNA 1",""
"ERICH2","2",285141,"glutamate-rich 2","Erich2"
"ERICH3","1",127254,"glutamate-rich 3",""
"ERICH3-AS1","1",101927320,"ERICH3 antisense RNA 1",""
"ERICH4","19",100170765,"glutamate-rich 4",""
"ERICH5","8",203111,"glutamate-rich 5",""
"ERICH6","3",131831,"glutamate-rich 6",""
"ERICH6-AS1","3",101928085,"ERICH6 antisense RNA 1",""
"ERICH6B","13",220081,"glutamate-rich 6B",""
"ERLEC1","2",27248,"endoplasmic reticulum lectin 1","Erlec1"
"ERLEC1P1","21",100288870,"endoplasmic reticulum lectin 1 pseudogene 1",""
"ERLIN1","10",10613,"ER lipid raft associated 1","Erlin1"
"ERLIN2","8",11160,"ER lipid raft associated 2","Erlin2"
"ERMAP","1",114625,"erythroblast membrane-associated protein (Scianna blood group)","Ermap"
"ERMARD","6",55780,"ER membrane-associated RNA degradation","Ermard"
"ERMN","2",57471,"ermin, ERM-like protein","Ermn"
"ERMP1","9",79956,"endoplasmic reticulum metallopeptidase 1","Ermp1"
"ERN1","17",2081,"endoplasmic reticulum to nucleus signaling 1","Ern1"
"ERN2","16",10595,"endoplasmic reticulum to nucleus signaling 2","Ern2"
"ERO1L","14",30001,"ERO1-like (S. cerevisiae)","Ero1l"
"ERO1LB","1",56605,"ERO1-like beta (S. cerevisiae)","Ero1lb"
"ERP27","12",121506,"endoplasmic reticulum protein 27","Erp27"
"ERP29","12",10961,"endoplasmic reticulum protein 29","Erp29"
"ERP29P1","20",100420612,"endoplasmic reticulum lumenal protein 29 pseudogene 1",""
"ERP44","9",23071,"endoplasmic reticulum protein 44","Erp44"
"ERRFI1","1",54206,"ERBB receptor feedback inhibitor 1","Errfi1"
"ERV3-1","7",2086,"endogenous retrovirus group 3, member 1",""
"ERVFRD-1","6",405754,"endogenous retrovirus group FRD, member 1","Synb"
"ERVFRD-3","9",100533725,"endogenous retrovirus group FRD, member 3",""
"ERVK13-1","16",100507321,"endogenous retrovirus group K13, member 1",""
"ERVMER34-1","4",100288413,"endogenous retrovirus group MER34, member 1",""
"ERVV-1","19",147664,"endogenous retrovirus group V, member 1",""
"ERVV-2","19",100271846,"endogenous retrovirus group V, member 2",""
"ERVW-1","7",30816,"endogenous retrovirus group W, member 1",""
"ESAM","11",90952,"endothelial cell adhesion molecule","Esam"
"ESCO1","18",114799,"establishment of sister chromatid cohesion N-acetyltransferase 1","Esco1"
"ESCO2","8",157570,"establishment of sister chromatid cohesion N-acetyltransferase 2","Esco2"
"ESD","13",2098,"esterase D","Esd;Gm2904"
"ESF1","20",51575,"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)","Esf1"
"ESM1","5",11082,"endothelial cell-specific molecule 1","Esm1"
"ESP33","9",100188917,"uncharacterized locus ESP33",""
"ESPL1","12",9700,"extra spindle pole bodies homolog 1 (S. cerevisiae)","Espl1"
"ESPN","1",83715,"espin","Espn"
"ESPNL","2",339768,"espin-like","Espnl"
"ESPNP","1",284729,"espin pseudogene",""
"ESR1","6",2099,"estrogen receptor 1","Esr1"
"ESR2","14",2100,"estrogen receptor 2 (ER beta)","Esr2"
"ESRG","3",790952,"embryonic stem cell related (non-protein coding)",""
"ESRP1","8",54845,"epithelial splicing regulatory protein 1","Esrp1"
"ESRP2","16",80004,"epithelial splicing regulatory protein 2","Esrp2"
"ESRRA","11",2101,"estrogen-related receptor alpha",""
"ESRRAP1","13",144847,"estrogen-related receptor alpha pseudogene 1",""
"ESRRAP2","13",144832,"estrogen-related receptor alpha pseudogene 2",""
"ESRRB","14",2103,"estrogen-related receptor beta","Esrrb"
"ESRRG","1",2104,"estrogen-related receptor gamma","Esrrg"
"ESX1","X",80712,"ESX homeobox 1",""
"ESYT1","12",23344,"extended synaptotagmin-like protein 1","Esyt1"
"ESYT2","7",57488,"extended synaptotagmin-like protein 2","Esyt2"
"ESYT3","3",83850,"extended synaptotagmin-like protein 3","Esyt3"
"ETAA1","2",54465,"Ewing tumor-associated antigen 1","Etaa1"
"ETF1","5",2107,"eukaryotic translation termination factor 1","Etf1"
"ETF1P1","6",6824,"eukaryotic translation termination factor 1 pseudogene 1",""
"ETF1P2","7",6825,"eukaryotic translation termination factor 1 pseudogene 2",""
"ETF1P3","X",100132121,"eukaryotic translation termination factor 1 pseudogene 3",""
"ETFA","15",2108,"electron-transfer-flavoprotein, alpha polypeptide","Etfa"
"ETFB","19",2109,"electron-transfer-flavoprotein, beta polypeptide","Etfb"
"ETFDH","4",2110,"electron-transferring-flavoprotein dehydrogenase","Etfdh"
"ETHE1","19",23474,"ethylmalonic encephalopathy 1","Ethe1"
"ETNK1","12",55500,"ethanolamine kinase 1","Etnk1"
"ETNK2","1",55224,"ethanolamine kinase 2","Etnk2"
"ETNPPL","4",64850,"ethanolamine-phosphate phospho-lyase","Etnppl"
"ETS1","11",2113,"v-ets avian erythroblastosis virus E26 oncogene homolog 1","Ets1"
"ETS2","21",2114,"v-ets avian erythroblastosis virus E26 oncogene homolog 2","Ets2"
"ETV1","7",2115,"ets variant 1","Etv1"
"ETV2","19",2116,"ets variant 2","Etv2"
"ETV3","1",2117,"ets variant 3","Etv3"
"ETV3L","1",440695,"ets variant 3-like","Etv3l"
"ETV4","17",2118,"ets variant 4","Etv4"
"ETV5","3",2119,"ets variant 5","Etv5"
"ETV6","12",2120,"ets variant 6","Etv6"
"ETV7","6",51513,"ets variant 7",""
"EVA1A","2",84141,"eva-1 homolog A (C. elegans)","Eva1a"
"EVA1B","1",55194,"eva-1 homolog B (C. elegans)","Eva1b"
"EVA1C","21",59271,"eva-1 homolog C (C. elegans)","Eva1c"
"EVC","4",2121,"Ellis van Creveld syndrome","Evc"
"EVC2","4",132884,"Ellis van Creveld syndrome 2","Evc2"
"EVI2A","17",2123,"ecotropic viral integration site 2A","Evi2a"
"EVI2B","17",2124,"ecotropic viral integration site 2B","Evi2b"
"EVI5","1",7813,"ecotropic viral integration site 5","Evi5"
"EVI5L","19",115704,"ecotropic viral integration site 5-like",""
"EVL","14",51466,"Enah/Vasp-like","Evl"
"EVPL","17",2125,"envoplakin","Evpl"
"EVPLL","17",645027,"envoplakin-like",""
"EVX1","7",2128,"even-skipped homeobox 1","Evx1"
"EVX1-AS","7",101410536,"EVX1 antisense RNA",""
"EVX2","2",344191,"even-skipped homeobox 2","Evx2"
"EWSAT1","15",283673,"Ewing sarcoma associated transcript 1",""
"EWSR1","22",2130,"EWS RNA-binding protein 1",""
"EXD1","15",161829,"exonuclease 3''-5'' domain containing 1","Exd1"
"EXD2","14",55218,"exonuclease 3''-5'' domain containing 2","Exd2"
"EXD3","9",54932,"exonuclease 3''-5'' domain containing 3",""
"EXO1","1",9156,"exonuclease 1","Exo1"
"EXO5","1",64789,"exonuclease 5","Exo5"
"EXOC1","4",55763,"exocyst complex component 1","Exoc1"
"EXOC2","6",55770,"exocyst complex component 2","Exoc2"
"EXOC3","5",11336,"exocyst complex component 3","Exoc3"
"EXOC3-AS1","5",116349,"EXOC3 antisense RNA 1",""
"EXOC3L1","16",283849,"exocyst complex component 3-like 1","Exoc3l"
"EXOC3L2","19",90332,"exocyst complex component 3-like 2","Exoc3l2"
"EXOC3L4","14",91828,"exocyst complex component 3-like 4","Exoc3l4"
"EXOC4","7",60412,"exocyst complex component 4","Exoc4"
"EXOC5","14",10640,"exocyst complex component 5","Exoc5"
"EXOC5P1","4",644548,"exocyst complex component 5 pseudogene 1",""
"EXOC6","10",54536,"exocyst complex component 6","Exoc6"
"EXOC6B","2",23233,"exocyst complex component 6B","Exoc6b"
"EXOC7","17",23265,"exocyst complex component 7","Exoc7"
"EXOC7P1","4",391681,"exocyst complex component 7 pseudogene 1",""
"EXOC8","1",149371,"exocyst complex component 8","Exoc8"
"EXOG","3",9941,"endo/exonuclease (5''-3''), endonuclease G-like","Exog"
"EXOGP1","18",100128324,"endo/exonuclease (5''-3''), endonuclease G-like pseudogene 1",""
"EXOSC1","10",51013,"exosome component 1","Exosc1"
"EXOSC10","1",5394,"exosome component 10","Exosc10"
"EXOSC2","9",23404,"exosome component 2","Exosc2"
"EXOSC3","9",51010,"exosome component 3","Exosc3"
"EXOSC3P1","21",100151640,"exosome component 3 pseudogene 1",""
"EXOSC3P2","19",100190954,"exosome component 3 pseudogene 2",""
"EXOSC4","8",54512,"exosome component 4","Exosc4"
